nom;prenom;mail;etcs;moyenne;choix;attribué;rang
Cohen;Jules;JulesCohen@cy-tech.fr;0;0;IAC;1;62
Leclerc;Dominique;DominiqueLeclerc@cy-tech.fr;0;0;CS;1;61
Picard;René;RenéPicard@cy-tech.fr;0;0;IAC;1;63
Arnaud;Jules;JulesArnaud@cy-tech.fr;0;0;IAC;2;64
Martin;Joséphine;JoséphineMartin@cy-tech.fr;0;0;IAC;1;65
du;Nath;Nathdu@cy-tech.fr;0;0;CS;1;62
Fournier;Anouk;AnoukFournier@cy-tech.fr;0;0;CS;1;63
Courtois;Hélène;HélèneCourtois@cy-tech.fr;30;15.992;MMF;1;1
Le;Charlotte;CharlotteLe@cy-tech.fr;30;15.391;MMF;1;2
Rodrigues;Laetitia;LaetitiaRodrigues@cy-tech.fr;30;14.856;MMF;1;3
Lefebvre;Lucie;LucieLefebvre@cy-tech.fr;30;14.85;MMF;1;4
de;daisy;daisyde@cy-tech.fr;30;14.366;MMF;1;5
Allain;Léon;LéonAllain@cy-tech.fr;30;14.299;MMF;1;6
Courtois;Virginie-Constance;Virginie-ConstanceCourtois@cy-tech.fr;30;14.161;MMF;1;7
Morvan;Lucas;LucasMorvan@cy-tech.fr;30;14.157;MMF;1;8
Ollivier;Simone;SimoneOllivier@cy-tech.fr;30;13.866;MMF;1;9
Guerin;Patricia;PatriciaGuerin@cy-tech.fr;30;13.776;MMF;1;10
Delaunay;Alexandria;AlexandriaDelaunay@cy-tech.fr;30;13.547;MMF;1;11
Morel;Antoine-Nicolas;Antoine-NicolasMorel@cy-tech.fr;30;13.439;MMF;1;12
Costa;Inès;InèsCosta@cy-tech.fr;30;13.394;MMF;1;13
Bernard;Franck;FranckBernard@cy-tech.fr;30;13.291;MMF;1;14
Blanchard;Agnès;AgnèsBlanchard@cy-tech.fr;30;13.079;ACTU;1;1
Martel;Marine;MarineMartel@cy-tech.fr;30;12.916;MMF;1;15
Chauvin;Sébastien;SébastienChauvin@cy-tech.fr;30;12.869;MMF;1;16
Garcia;Alexandre;AlexandreGarcia@cy-tech.fr;30;12.778;MMF;1;17
du;Eugène;Eugènedu@cy-tech.fr;30;12.703;MMF;1;18
Marchal;Charlotte;CharlotteMarchal@cy-tech.fr;15;12.513;MMF;1;19
Benoit;Claude;ClaudeBenoit@cy-tech.fr;30;12.291;MMF;1;20
Pottier;Dorothée;DorothéePottier@cy-tech.fr;30;12.163;MMF;1;21
du;Stéphanie;Stéphaniedu@cy-tech.fr;30;12.129;MMF;1;22
Bernard;François;FrançoisBernard@cy-tech.fr;30;12.043;MMF;1;23
Humbert;Corinne;CorinneHumbert@cy-tech.fr;30;11.801;MMF;1;24
Colin;Thierry;ThierryColin@cy-tech.fr;15;11.784;ACTU;1;2
Lelievre;Charlotte;CharlotteLelievre@cy-tech.fr;30;11.766;MMF;1;25
Imbert;Olivie-Amélie;Olivie-AmélieImbert@cy-tech.fr;30;11.635;MMF;1;26
Gerard;Thibault-Olivier;Thibault-OlivierGerard@cy-tech.fr;15;11.616;MMF;1;27
Guillou;Maurice;MauriceGuillou@cy-tech.fr;30;11.498;MMF;1;28
Pons;Étienne;ÉtiennePons@cy-tech.fr;15;11.26;MMF;1;29
Pons;Hugues;HuguesPons@cy-tech.fr;15;11.151;MMF;1;30
Raynaud;Hugues;HuguesRaynaud@cy-tech.fr;15;11.088;ACTU;1;3
Le;Robert;RobertLe@cy-tech.fr;15;11.062;MMF;1;31
Guillet;Louise;LouiseGuillet@cy-tech.fr;15;11.058;MMF;1;32
Bailly-Lebrun;Laurent;LaurentBailly-Lebrun@cy-tech.fr;15;10.942;MMF;1;33
Meunier;Laurence;LaurenceMeunier@cy-tech.fr;30;10.826;ACTU;1;4
Denis;Marguerite;MargueriteDenis@cy-tech.fr;30;10.745;MMF;1;34
Michel;Nicolas-Alexandre;Nicolas-AlexandreMichel@cy-tech.fr;15;10.663;MMF;1;35
Labbe;Marine;MarineLabbe@cy-tech.fr;15;10.627;MMF;1;36
Schmitt;Odette;OdetteSchmitt@cy-tech.fr;15;10.226;MMF;1;37
Aubert;René;RenéAubert@cy-tech.fr;15;10.186;MMF;1;38
Lebon;Thibault;ThibaultLebon@cy-tech.fr;15;10.096;MMF;1;39
Rocher;Richard;RichardRocher@cy-tech.fr;15;9.971;MMF;1;40
Perrin;Denise-Valentine;Denise-ValentinePerrin@cy-tech.fr;15;9.953;MMF;1;41
Leclerc;Élisabeth;ÉlisabethLeclerc@cy-tech.fr;15;9.743;MMF;1;42
Grenier;Antoine;AntoineGrenier@cy-tech.fr;15;9.736;ACTU;1;5
Colas;David;DavidColas@cy-tech.fr;15;9.724;ACTU;1;6
Bouvier;David;DavidBouvier@cy-tech.fr;15;9.645;MMF;1;43
du;Frédéric;Frédéricdu@cy-tech.fr;15;9.532;MMF;1;44
Charrier-Lelievre;Marthe;MartheCharrier-Lelievre@cy-tech.fr;15;9.468;MMF;1;45
Pinto;Adélaïde-Antoinette;Adélaïde-AntoinettePinto@cy-tech.fr;15;9.363;MMF;1;46
Bernard;Luc-Léon;Luc-LéonBernard@cy-tech.fr;15;9.061;MMF;1;47
Martel;Antoine;AntoineMartel@cy-tech.fr;15;8.902;MMF;1;48
Boutin;Hortense;HortenseBoutin@cy-tech.fr;15;8.569;MMF;1;49
Hoareau;Louis;LouisHoareau@cy-tech.fr;15;8.389;MMF;1;50
Carre-Diaz;Alexandre;AlexandreCarre-Diaz@cy-tech.fr;15;8.13;MMF;1;51
Maurice;Raymond;RaymondMaurice@cy-tech.fr;15;7.589;MMF;1;52
Jourdan;Louise;LouiseJourdan@cy-tech.fr;15;7.401;MMF;1;53
Colas;François;FrançoisColas@cy-tech.fr;15;7.319;ACTU;1;7
Picard;Georges-Olivier;Georges-OlivierPicard@cy-tech.fr;15;7.313;MMF;1;54
Durand;Élise;ÉliseDurand@cy-tech.fr;15;7.06;MMF;1;55
Morel;Noël;NoëlMorel@cy-tech.fr;15;6.666;MMF;1;56
Poulain;Cécile;CécilePoulain@cy-tech.fr;15;6.597;MMF;1;57
Denis;Françoise;FrançoiseDenis@cy-tech.fr;15;6.388;MMF;1;58
Gay;Isabelle;IsabelleGay@cy-tech.fr;15;6.273;MMF;1;59
Lacombe;Alix;AlixLacombe@cy-tech.fr;15;6.187;MMF;1;60
Riou;Thibault;ThibaultRiou@cy-tech.fr;15;6.066;MMF;1;61
Le;Christiane;ChristianeLe@cy-tech.fr;15;5.961;ACTU;1;8
Hebert;Bertrand;BertrandHebert@cy-tech.fr;15;5.887;MMF;1;62
Valentin;Adrien;AdrienValentin@cy-tech.fr;15;5.273;MMF;1;63
Le;Anouk;AnoukLe@cy-tech.fr;15;4.927;ACTU;1;9
Lambert;Aimée;AiméeLambert@cy-tech.fr;15;2.987;MMF;1;64
Breton;Brigitte;BrigitteBreton@cy-tech.fr;0;0;MMF;1;65
