prenom;nom;login;ECTS acquis;Moyenne;Choix 1;Choix 2;Choix 3;Choix 4;Choix 5;Choix 6;Choix 7;Choix 8
Henriette-Marthe;Tanguy;Henriette-MartheTanguy@cy-tech.fr;15;10,95;CS ;IAC ;VISUA ;INEM ;ICC ;IAP ;BI ;HPDA
Daniel;Guillon;DanielGuillon@cy-tech.fr;15;10,726;BI ;INEM ;IAC ;ICC ;CS ;IAP ;HPDA ;VISUA
Claude;Gimenez;ClaudeGimenez@cy-tech.fr;15;10,602;CS ;IAC ;BI ;VISUA ;INEM ;IAP ;ICC ;HPDA
Victor;Hubert;VictorHubert@cy-tech.fr;15;10,576;CS ;ICC ;HPDA ;BI ;IAC ;IAP ;VISUA ;INEM
Astrid;Fischer;AstridFischer@cy-tech.fr;15;10,427;CS ;ICC ;IAP ;IAC ;INEM ;HPDA ;VISUA ;BI
Philippe;De;PhilippeDe@cy-tech.fr;15;9,523;BI ;INEM ;VISUA ;CS ;IAC ;IAP ;ICC ;HPDA
Éric;Rousset;ÉricRousset@cy-tech.fr;15;9,459;CS ;IAC ;BI ;IAP ;ICC ;VISUA ;INEM ;HPDA
Océane;Gauthier;OcéaneGauthier@cy-tech.fr;0;0;IAP ;HPDA ;BI ;IAC ;VISUA ;CS ;ICC ;INEM
Jules;Cohen;JulesCohen@cy-tech.fr;0;0;IAC ;VISUA ;BI ;CS ;INEM ;IAP ;HPDA ;ICC
Patrick;Morin;PatrickMorin@cy-tech.fr;15;10,731;BI ;CS ;IAC ;ICC ;IAP ;INEM ;VISUA ;HPDA
Augustin;David-Rey;AugustinDavid-Rey@cy-tech.fr;15;9,891;CS ;IAP ;IAC ;INEM ;ICC ;BI ;HPDA ;VISUA
Dorothée;Albert;DorothéeAlbert@cy-tech.fr;15;9,291;CS ;BI ;INEM ;IAC ;VISUA ;HPDA ;ICC ;IAP
Christophe-Honoré;Mallet;Christophe-HonoréMallet@cy-tech.fr;15;9,255;BI ;IAC ;VISUA ;INEM ;CS ;IAP ;ICC ;HPDA
Édouard;Leconte;ÉdouardLeconte@cy-tech.fr;15;9,007;IAC ;CS ;VISUA ;INEM ;ICC ;IAP ;BI ;HPDA
Dominique;Leclerc;DominiqueLeclerc@cy-tech.fr;0;0;CS ;INEM ;ICC ;IAP ;IAC ;VISUA ;HPDA ;BI
René;Picard;RenéPicard@cy-tech.fr;0;0;IAC ;BI ;VISUA ;INEM ;IAP ;ICC ;HPDA ;CS
Jules;Arnaud;JulesArnaud@cy-tech.fr;0;0;IAP ;IAC ;ICC ;BI ;HPDA ;VISUA ;CS ;INEM
Raymond-Édouard;Coulon;Raymond-ÉdouardCoulon@cy-tech.fr;15;1,475;CS ;IAC ;BI ;VISUA ;IAP ;ICC ;HPDA ;INEM
Joséphine;Martin;JoséphineMartin@cy-tech.fr;0;0;IAC ;CS ;INEM ;VISUA ;BI ;IAP ;HPDA ;ICC
Nath;du;Nathdu@cy-tech.fr;0;0;CS ;INEM ;IAC ;IAP ;VISUA ;HPDA ;ICC ;BI
Anouk;Fournier;AnoukFournier@cy-tech.fr;0;0;CS ;IAC ;IAP ;INEM ;VISUA ;ICC ;BI ;HPDA
